,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"[0, 0, 1, 0, 1, -1, 0, 0, -1, 0, 0, -1, -1, 1, 1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 1, 0, 1, -1, 0, 1, -1, 0, 0, -1, -1, 1, 1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.55,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 1, 0, 1, -1, 0, 1, -1, -1, 0, -1, -1, 1, 1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",-4.243473648129006,-4.271307963132367,-4.22956757824955,-4.334608924864805,-7.2197195600000015,-4.277309941835544,-8.597738920000001,-4.36436978542111,-4.227434976350477,-7.41085,-8.5556808688,-4.6855668,-9.65397755,-4.854008,-1000000.0,-7.244561
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0]",0.0,0.0,0.0,-0.35000000000000003,0.0,0.0,0.0,0.0,0.0,-0.9,0.0,0.0,-1000000.0,-1.75,0.0,0.0
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0]",0.0,-2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0]",0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, -1, -1, 1, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0]",0.0,0.0,0.0,-1000000.0,0.0,0.0,-0.9500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
